Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Cephalocarpus cymbaria,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-27.4,Cephalocarpus,cymbaria,,
Cephalocarpus enodis,Nees,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Cephalocarpus,enodis,,
Cephalocarpus multiarticulata,Nees,C3,Bruhl and Wilson (2007),,Cephalocarpus,multiarticulata,,
Cephalocarpus sphaerocephala,R. Br.,C3,Bruhl and Wilson (2007),,Cephalocarpus,sphaerocephala,,
Chorizandra sp.,,C3,Bruhl and Wilson (2007),,Chorizandra,sp.,,
Chrysitrix capensis,L.,C3,Bruhl and Wilson (2007),-27.9,Chrysitrix,capensis,,
Chrysitrix dodii,C. B. Clarke,C3,Bruhl and Wilson (2007),,Chrysitrix,dodii,,
Chrysitrix junciformis,C. B. Clarke,C3,Bruhl and Wilson (2007),-23.33,Chrysitrix,junciformis,,
Cladium jamaicense,Crantz,C3,Bender (1971) Hesla et al. (1982) Aucour et al. (1994) Bruhl and Wilson (2007),-26.0,Cladium,jamaicense,,
Cladium mariscus,(L.) Pohl,C3,Aucour et al. (1994),,Cladium,mariscus,,
Cladium procerum,S. T. Blake,C3,Aucour et al. (1994),,Cladium,procerum,,
Coleochloa abyssinica,(A. Rich.) Gilly,C3,Chermezon (1930) Hesla et al. (1982) Bruhl and Wilson (2007),-26.1,Coleochloa,abyssinica,,
Coleochloa schweinfurthiana,(Boeck.) Nelmes,C3,Bruhl and Wilson (2007),,Coleochloa,schweinfurthiana,,
Coleochloa setifera,(Ridl.) Gilly,C3,Chermezon (1930) Hesla et al. (1982) Bruhl and Wilson (2007),-22.2,Coleochloa,setifera,,
Costularia arundinacea,(Solander ex Vahl),C3,Bruhl and Wilson (2007),-27.7,Costularia,arundinacea,,
Costularia chamaedendron,(Guill.) Kük.,C3,Bruhl and Wilson (2007),-29.6 -30.4,Costularia,chamaedendron,,
Costularia comosa,(C. B. Clarke) Kük.,C3,Bruhl and Wilson (2007),,Costularia,comosa,,
Costularia fragilis,(Däniker) Kük.,C3,Bruhl and Wilson (2007),,Costularia,fragilis,,
Costularia leucocarpa,(Ridl.) H. Pfeiff.,C3,Bruhl and Wilson (2007),,Costularia,leucocarpa,,
Costularia pantopoda,(Baker) C. B. Clarke,C3,Bruhl and Wilson (2007),-25.1,Costularia,pantopoda,,
Costularia pilisepala,(Steud.) Kern,C3,Takeda et al. (1985),,Costularia,pilisepala,,
Costularia pubescens,J. Raynal,C3,Bruhl and Wilson (2007),,Costularia,pubescens,,
Costularia stagnalis,(Däniker) Kük.,C3,Bruhl and Wilson (2007),,Costularia,stagnalis,,
Courtoisina assimilis,(Steud.) Maquet,C3,Bruhl and Wilson (2007),,Courtoisina,assimilis,,
Courtoisina cyperoides,(Roxb.) Soják,C3,Druyts-Voets (1970) Vorster (1996) Bruhl and Wilson (2007),-28.2,Courtoisina,cyperoides,,
Crosslandia setifolia,W. V. Fitzg.,C4,Lerman and Raynal (1972) Takeda et al. (1985) Bruhl and Wilson (2007),-11.5,Crosslandia,setifolia,,
Cyathochaeta avenacea,(R. Br.) Benth.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-26.3 -25.9,Cyathochaeta,avenacea,,
Cyathochaeta diandra,(R. Br.) Nees,C3,Takeda et al. (1985),,Cyathochaeta,diandra,,
Cyathocoma hexandra,(Nees) J. Browning,C3,Bruhl and Wilson (2007),-29.3,Cyathocoma,hexandra,,
