Taxon,Authority,Pathway,References,dC13,Genus,Species,Subspecies,Infradel
Lepidosperma leptostachyum var. asperatum,Benth. Kuk.,C3,Bruhl and Wilson (2007),,Lepidosperma,leptostachyum,asperatum,var.
Lepidosperma limicola,N. A. Wakefield,C3,Bruhl and Wilson (2007),,Lepidosperma,limicola,,
Lepidosperma longitudinale,Labill.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,longitudinale,,
Lepidosperma neesii,Kunth,C3,Bruhl and Wilson (2007),,Lepidosperma,neesii,,
Lepidosperma obtusum,Kük.,C3,Bruhl and Wilson (2007),,Lepidosperma,obtusum,,
Lepidosperma oldfieldii,Hook. f.,C3,Bruhl and Wilson (2007),,Lepidosperma,oldfieldii,,
Lepidosperma perteres,C. B. Clarke,C3,Bruhl and Wilson (2007),-25.7,Lepidosperma,perteres,,
Lepidosperma pruinosum var. rigidum,Kük.,C3,Bruhl and Wilson (2007),,Lepidosperma,pruinosum,rigidum,var.
Lepidosperma pubisquameum,Steud.,C3,Bruhl and Wilson (2007),,Lepidosperma,pubisquameum,,
Lepidosperma quadrangulatum,A. A. Hamilton,C3,Bruhl and Wilson (2007),,Lepidosperma,quadrangulatum,,
Lepidosperma scabrum,Nees,C3,Bruhl and Wilson (2007),,Lepidosperma,scabrum,,
Lepidosperma semiteres,F. Muell. ex Boeck.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,semiteres,,
Lepidosperma sp. A1,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. A1,,
Lepidosperma sp. aff. elatius,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp.,elatius,aff.
Lepidosperma sp. B2,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. B2,,
Lepidosperma sp. E3,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. E3,,
Lepidosperma sp. E4,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. E4,,
Lepidosperma sp. F,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. F,,
Lepidosperma sp. F1,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. F1,,
Lepidosperma sp. I,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. I,,
Lepidosperma sp. P,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. P,,
Lepidosperma sp. Q,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. Q,,
Lepidosperma sp. S2,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. S2,,
Lepidosperma sp. T2,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. T2,,
Lepidosperma sp. U1,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. U1,,
Lepidosperma sp. U3,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. U3,,
Lepidosperma sp. Z,,C3,Bruhl and Wilson (2007),,Lepidosperma,sp. Z,,
Lepidosperma squamatum,Labill.,C3,Bruhl and Wilson (2007),,Lepidosperma,squamatum,,
Lepidosperma striatum,R. Br.,C3,Bruhl and Wilson (2007),,Lepidosperma,striatum,,
Lepidosperma tenue,Benth.,C3,Bruhl and Wilson (2007),,Lepidosperma,tenue,,
Lepidosperma tetraquetrum,Nees,C3,Bruhl and Wilson (2007),,Lepidosperma,tetraquetrum,,
Lepidosperma tortuosum,F. Muell.,C3,Bruhl and Wilson (2007),,Lepidosperma,tortuosum,,
Lepidosperma tuberculatum,Nees,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,tuberculatum,,
Lepidosperma urophorum,N. A. Wakefield,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,urophorum,,
Lepidosperma ustulatum,Steud.,C3,Bruhl and Wilson (2007),,Lepidosperma,ustulatum,,
Lepidosperma viscidum,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Lepidosperma,viscidum,,
Lepironia articulata,(Retz.) Domin,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-28.1,Lepironia,articulata,,
Lipocarpha albiceps,Ridl.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-11.3,Lipocarpha,albiceps,,
Lipocarpha chinensis,(Osb.) Kern,C4,Govindarajalu (1974) Hesla et al. (1982) Ueno and Takeda (1992) Bruhl and Wilson (2007),-10.30,Lipocarpha,chinensis,,
Lipocarpha hemisphaerica,(Roth) Goetgh.,C4,Bruhl and Wilson (2007),-10.4 -9.45,Lipocarpha,hemisphaerica,,
Lipocarpha kernii,(Raym.) Goetgh.,C4,Raynal (1973) Bruhl and Wilson (2007),-12.7,Lipocarpha,kernii,,
Lipocarpha micrantha,(Vahl) G. C. Tucker,C4,Bruhl and Wilson (2007),-11.1,Lipocarpha,micrantha,,
Lipocarpha microcephala,(R. Br.) Kunth,C4,Takeda et al. (1985) Ueno et al. (1986) Bruhl et al. (1987) Ehleringer et al. (1987) Ueno and Takeda (1992) Bruhl and Wilson (2007),,Lipocarpha,microcephala,,
Lipocarpha nana,(A. Rich.) Cherm.,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-10.34,Lipocarpha,nana,,
Lipocarpha occidentalis,(A. Gray) G. C. Tucker,C4,Bruhl and Wilson (2007),,Lipocarpha,occidentalis,,
Lipocarpha prieuriana,Steud.,C4,Bruhl and Wilson (2007),-11.9,Lipocarpha,prieuriana,,
Lipocarpha raynaliana,Govindarajalu,C4,Govindarajalu (1981),,Lipocarpha,raynaliana,,
Lipocarpha rehmannii,(Ridl.) Goetgh.,C4,Raynal (1973) Hesla et al. (1982) Bruhl and Wilson (2007),-12.3,Lipocarpha,rehmannii,,
Lipocarpha rehmannii,(Ridl.) Goetgh.,C3+,Bruhl and Wilson (2007),-24.57,Lipocarpha,rehmannii,,
Lipocarpha squarrosa,(L.) Goetgh.,C4,Sharma (1972) Raynal (1973) Govindarajalu and Raynal (1976) Bruhl and Wilson (2007),-13.5,Lipocarpha,squarrosa,,
Machaerina anceps,(Poir.) Boj.,C3,Bruhl and Wilson (2007),-26.4,Machaerina,anceps,,
Machaerina falcata,(Nees) T. Koyama,C3,Bruhl and Wilson (2007),,Machaerina,falcata,,
Machaerina insularis,(Benth.) T. Koyama,C3,Bruhl and Wilson (2007),,Machaerina,insularis,,
Mapania baldwinii,Nelmes,C3,Bruhl and Wilson (2007),-33.5,Mapania,baldwinii,,
Mapania bancana,(Miq.) Benth. and Hook. f. ex B. D. Jacks.,C3,Koyama (1967) Bruhl and Wilson (2007),-28.0,Mapania,bancana,,
Mapania coriandrum,Nelmes,C3,Bruhl and Wilson (2007),-31.3 -37.4,Mapania,coriandrum,,
Mapania cuspidata,(Miq.) Uittien,C3,Koyama (1967),,Mapania,cuspidata,,
Mapania cuspidata,(Miq.) Uittien (C. B. Clarke) Uittien,C3,Bruhl and Wilson (2007),,Mapania,cuspidata,,
Mapania effusa,(C. B. Clarke) T. Koyama,C3,Koyama (1967) Metcalfe (1971),,Mapania,effusa,,
Mapania macrantha,(Boeck.) H. Pfeiff.,C3,Bruhl and Wilson (2007),-33.4,Mapania,macrantha,,
Mapania macrocephala,(Gaud.) K. Schum.,C3,Takeda et al. (1985),,Mapania,macrocephala,,
Mapania macrophylla,(Boeck.) H. Pfeiff.,C3,Koyama (1967),,Mapania,macrophylla,,
Mapania mannii,C. B. Clarke,C3,Bruhl and Wilson (2007),-32. -36.2,Mapania,mannii,,
Mapania soyauxii,(Boeck.) H. Pfeiff.,C3,Bruhl and Wilson (2007),-35.6 -35.8,Mapania,soyauxii,,
Mapania sumatrana,(Miq.) Benth.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Mapania,sumatrana,,
Mapania sylvatica,Aubl.,C3,Koyama (1967) Bruhl and Wilson (2007),-35.4,Mapania,sylvatica,,
Mesomelaena graciliceps,(C. B. Clarke ) K. L. Wilson,C3,Bruhl and Wilson (2007),,Mesomelaena,graciliceps,,
Mesomelaena preissii,Nees,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Mesomelaena,preissii,,
Mesomelaena pseudostygia,(Kük.) K. L. Wilson,C3,Bruhl and Wilson (2007),,Mesomelaena,pseudostygia,,
Mesomelaena stygia subsp. deflexa,(R. Br.) Nees (Kuk.) K. L. Wilson,C3,Bruhl and Wilson (2007),,Mesomelaena,stygia,deflexa,subsp.
Mesomelaena stygia subsp. stygia,(R. Br.) Nees,C3,Bruhl and Wilson (2007),,Mesomelaena,stygia,stygia,subsp.
Mesomelaena tetragona,(R. Br.) Benth.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),-25.0,Mesomelaena,tetragona,,
Microdracoides squamosus,Hua,C3,Chermezon (1933) Bruhl and Wilson (2007),-26.6 -27.1 -28.4 -33.7,Microdracoides,squamosus,,
Morelotia affinis,(Brongn.) S. T. Blake,C3,Bruhl and Wilson (2007),,Morelotia,affinis,,
Morelotia gahniiformis,Gaud.,C3,Bruhl and Wilson (2007),,Morelotia,gahniiformis,,
Neesenbeckia punctoria,(Vahl) Levyns,C3,Bruhl and Wilson (2007),-29.0 -26.01,Neesenbeckia,punctoria,,
Nelmesia melanostachya,Van der Veken,C4,Lerman and Raynal (1972) Bruhl and Wilson (2007),-12.8,Nelmesia,melanostachya,,
Nemum spadiceum,(Lam.) Desv. Ex Hamilton,C4,Bruhl and Wilson (2007),-11.6,Nemum,spadiceum,,
Nemum equitans,(Kük.) J. Raynal,C4,Raynal (1973) Bruhl and Wilson (2007),-13.2,Nemum,equitans,,
Oreobolopsis inversa,Dhooge and Goetgh.,C4,Dhooge and Goetghebeur (2002),,Oreobolopsis,inversa,,
Oreobolopsis tepalifera,T. Koyama and Guaglianone,C3,Koyama and Guaglianone (1987),,Oreobolopsis,tepalifera,,
Oreobolopsis ambiguus,Kük. and Steenis,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Oreobolopsis,ambiguus,,
Oreobolopsis distichus,F. Muell.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Oreobolopsis,distichus,,
Oreobolopsis kuekenthalii,Steenis,C3,Bruhl and Wilson (2007),,Oreobolopsis,kuekenthalii,,
Oreobolopsis obtusangulus,Gaud.,C3,Bruhl and Wilson (2007),-24.1,Oreobolopsis,obtusangulus,,
Oreobolopsis oligocephalus,W. M. Curtis,C3,Bruhl and Wilson (2007),,Oreobolopsis,oligocephalus,,
Oreobolopsis oxycarpus,S. T. Blake,C3,Takeda et al. (1985),,Oreobolopsis,oxycarpus,,
Oreobolopsis pumilio subsp. pumillio,R. Br.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Oreobolopsis,pumilio,pumillio,subsp.
Oxycaryum cubense,(Poepp. And Kunth) K. Lye,C3,Bruhl and Wilson (2007),-27.6,Oxycaryum,cubense,,
Paramapania parvibractea,(C. B. Clarke) Uittien,C3,Takeda et al. (1985),,Paramapania,parvibractea,,
Paramapania radians,(C. B. Clarke) Uittien,C3,Bruhl and Wilson (2007),-29.2 -30.4,Paramapania,radians,,
Paramapania simplex,(Ridl.) Uittien,C3,Bruhl and Wilson (2007),-31.7,Paramapania,simplex,,
Phylloscirpus acaulis,(Philippi) Goetgh. And D. A. Simpson,C3,Ponessa et al. (1997),,Phylloscirpus,acaulis,,
Phylloscirpus boliviensis,(Barros) Dhooge and Goetgh.,C3,Bruhl and Wilson (2007),,Phylloscirpus,boliviensis,,
Phylloscirpus deserticola,(Philippi) Dhooge and Goetgh.,C3,Bruhl and Wilson (2007),,Phylloscirpus,deserticola,,
Pleurostachys gaudichaudii,Brongn.,C3,Bruhl and Wilson (2007),-30.2,Pleurostachys,gaudichaudii,,
Principina grandis,Uittien,C3,Bruhl and Wilson (2007),,Principina,grandis,,
Pseudoschoenus inanus,(Thunb.) Oteng-Yeboah,C3,Bruhl and Wilson (2007),,Pseudoschoenus,inanus,,
Ptilothrix deusta,(R. Br.) K. L. Wilson,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Ptilothrix,deusta,,
Pycreus aethiops,(Ridl.) C. B. Clarke ,C4,Hesla et al. (1982),,Pycreus,aethiops,,
Pycreus atroglumosus,(Govindarajalu) P. Singh and V. Singh,C4,Govindarajalu (1978),,Pycreus,atroglumosus,,
Pycreus bipartitus,(Torr.) C. B. Clarke,C4,Li et al. (1999),,Pycreus,bipartitus,,
Pycreus compressiformis,Cherm.,C4,Bruhl and Wilson (2007),,Pycreus,compressiformis,,
Pycreus diandrus,(Torr.) C. B. Clarke,C4,Li et al. (1999),,Pycreus,diandrus,,
Pycreus divulsus,(Ridl.) C. B. Clarke,C4,Bruhl and Wilson (2007),,Pycreus,divulsus,,
Pycreus fibrillosus,(Kük.) Cherm.,C4,Bruhl and Wilson (2007),-12.2,Pycreus,fibrillosus,,
Pycreus filicinus,(Vahl) T. Koyama,C4,Li et al. (1999),,Pycreus,filicinus,,
Pycreus flavescens,(L.) Beauv. ex Rchb.,C4, Meinzer (1978) Hesla et al. (1982) Kalapos et al. (1997) Li et al. (1999) Bruhl and Wilson (2007),-11.9 -10.93,Pycreus,flavescens,,
Pycreus flavescens,(L.) Beauv. ex Rchb.,C3+,Li (1993),,Pycreus,flavescens,,
Pycreus flavicomus,(Michx.) C. D. Adams,C4,Downton and Tregunna (1968) Tregunna et al. (1970) Meinzer (1978) Li et al. (1999),,Pycreus,flavicomus,,
Pycreus flavidus,(Retz.) T. Koyama,C4,Hofstra et al. (1972) Govindarajalu (1978) Saxena and Ramakrishnan (1984) Takeda et al. (1985) Ueno et al. (1986) Ueno et al. (1988b) Ueno and Takeda (1992) Li (1993) Bruhl and Wilson (2007),,Pycreus,flavidus,,
Pycreus flavidus,(Retz.) T. Koyama,C3+,Saxena and Ramakrishnan (1984),,Pycreus,flavidus,,
Pycreus govindarajalui,V. S. Raju.,C4,Govindarajalu (1978),,Pycreus,govindarajalui,,
Pycreus hildebrandtii,C. B. Clarke,C4,Hesla et al. (1982),,Pycreus,hildebrandtii,,
Pycreus intactus,(Vahl) J. Raynal,C4,Gilliland and Gordon-Gray (1978),,Pycreus,intactus,,
Pycreus intermedius,(Steud.) C. B. Clarke,C4,Bruhl and Wilson (2007),,Pycreus,intermedius,,
Pycreus lanceolatus,(Poir.) C. B. Clarke,C4,Hesla et al. (1982),,Pycreus,lanceolatus,,
Pycreus latespicatus,(Boeck.) C. B. Clarke,C4,Govindarajalu (1978),,Pycreus,latespicatus,,
Pycreus latevaginatus,(Govindarajalu) P. and V. Singh,C4,Govindarajalu (1978),,Pycreus,latevaginatus,,
Pycreus longistolon,(A. Peter and Kük.) Napper,C4,Hesla et al. (1982),,Pycreus,longistolon,,
Pycreus luridus,(Govindarajalu) P. Singh and V. Singh,C4,Govindarajalu (1978),,Pycreus,luridus,,
Pycreus macranthus,(Boeck.) C. B. Clarke,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Pycreus,macranthus,,
Pycreus macrostachyos,(Lam.) J. Raynal,C4,Carolin et al. (1977) Govindarajalu (1978) Hesla et al. (1982)b) Takeda et al. (1985) Bruhl and Wilson (2007),,Pycreus,macrostachyos,,
Pycreus mundii,Nees,C4,Hesla et al. (1992) Li (1993) Bruhl and Wilson (2007),-12.0,Pycreus,mundii,,
Pycreus nervulosus,(Kük.) ined.,C4,Carolin et al. (1977),,Pycreus,nervulosus,,
Pycreus niger,(Ruiz and Pav.) Cufod.,C4,Rikli (1895),,Pycreus,niger,,
Pycreus Niger subsp. elegantulus,(Ruiz and Pav.) Cufod. (Steud.) K. Lye,C4,Lerman and Raynal (1972),,Pycreus,Niger,elegantulus,subsp.
Pycreus nigricans,(Steud.) C. B. Clarke,C4,Hesla et al. (1982) Bruhl and Wilson (2007),,Pycreus,nigricans,,
Pycreus nitidus,(Lam.) J. Raynal,C4,Hesla et al. (1982) Ellery et al. (1992) Bruhl and Wilson (2007),-10.02,Pycreus,nitidus,,
Pycreus pelophilus,(Ridl.) C. B. Clarke,C4,Hesla et al. (1982) Bruhl and Wilson (2007),-10.93,Pycreus,pelophilus,,
Pycreus permutatus,(Boeck.) Napper,C4,Hesla et al. (1982),,Pycreus,permutatus,,
Pycreus pervillei,(Boeck.) C. B. Clarke,C4,Bruhl and Wilson (2007),,Pycreus,pervillei,,
Pycreus plumbeonuceus,(Govindarajalu) P. Singh and V. Singh,C4,Govindarajalu (1978),,Pycreus,plumbeonuceus,,
Pycreus plurinodosus,(Govindarajalu) P. Singh and V. Singh,C4,Govindarajalu (1978) ,,Pycreus,plurinodosus,,
Pycreus polystachyos,(Rottb.) Beauv.,C4,Carolin et al. (1977) Govindarajalu (1978) Hesla et al. (1982) Takeda et al. (1985) Bruhl and Wilson (2007) Bruhl et al. (1987) Ueno et al. (1986) Ueno and Takeda (1992) Li (1993) Lin et al. (1993) Bruhl and Perry (1995) Li et al. (1999) Soros and Dengler (2001),,Pycreus,polystachyos,,
Pycreus pumilus,(L.) Nees,C4,Govindarajalu (1978) Hnatiuk (1980) Hesla et al. (1982) Bruhl and Wilson (2007),-11.3,Pycreus,pumilus,,
Pycreus puncticulatus,(Vahl) Nees,C4,Govindarajalu (1978),,Pycreus,puncticulatus,,
Pycreus sanguinolentus,(Vahl) Nees,C4,Hattersley et al. (1977) Govindarajalu (1978) Hesla et al. (1982) Ueno et al. (1986) Ueno et al. (1998b) Ueno and Takeda (1992) Li and Jones (1994),,Pycreus,sanguinolentus,,
Pycreus sanguinolentus subsp. cyrtostachys,(Miq.) S. Karthikeyan,C4,Govindarajalu (1978),,Pycreus,sanguinolentus,cyrtostachys,subsp.
Pycreus sanguinolentus var. micronux,(C. B. Clarke) S. Karthikeyan,C4,Govindarajalu (1978),,Pycreus,sanguinolentus,micronux,var.
Pycreus stramineus,(Nees) C. B. Clarke,C4,Govindarajalu (1978),,Pycreus,stramineus,,
Pycreus stricticulmis,(Govindarajalu) P. Singh and V. Singh,C4,Govindarajalu (1978),,Pycreus,stricticulmis,,
Pycreus sulcinux,(C. B. Clarke) C. B. Clarke,C4,Govindarajalu (1978),,Pycreus,sulcinux,,
Pycreus unioloides,(R. Br.) Urb.,C4,Akita et al. (1969) Govindarajalu (1978) Hesla et al. (1982) Bruhl and Wilson (1986),,Pycreus,unioloides,,
Queenslandiella hyalina,(Vahl) Ballard,C4,Lerman and Raynal (1972) Govindarajalu (1975) Bruhl and Wilson (2007),-13.7,Queenslandiella,hyalina,,
Reedia spathacea,F. Meull.,C3,Takeda et al. (1985) Bruhl and Wilson (2007),,Reedia,spathacea,,
Rhynchocladium steyermarkii,(T. Koyama) T. Koyama,C3,Bruhl and Wilson (2007),,Rhynchocladium,steyermarkii,,
Rhynchospora affinis,W. Fitzg.,C4,Takeda et al. (1980) Takeda et al. (1985) Ueno and Koyama (1987),,Rhynchospora,affinis,,
Rhynchospora alba,(L.) Vahl,C3,Takeda et al. (1980) Ueno and Koyama (1987),,Rhynchospora,alba,,
Rhynchospora albescens,(Miq.) Kük.,C3,Ueno and Koyama (1987),,Rhynchospora,albescens,,
Rhynchospora albiceps,Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,albiceps,,
Rhynchospora albomarginata,Kük.,C3,Ueno and Koyama (1987),,Rhynchospora,albomarginata,,
Rhynchospora albotuberculata,Kük.,C4,Ueno and Koyama (1987),,Rhynchospora,albotuberculata,,
Rhynchospora amazonica,Poepp. and Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,amazonica,,
Rhynchospora andina,Kük.,C3,Ueno and Koyama (1987),,Rhynchospora,andina,,
Rhynchospora angustifolia,Palla,C3,Ueno and Koyama (1987),,Rhynchospora,angustifolia,,
Rhynchospora arechavaletae,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,arechavaletae,,
Rhynchospora argentina,Standley,C3,Ueno and Koyama (1987),,Rhynchospora,argentina,,
Rhynchospora aripoensis,Britton,C3,Ueno and Koyama (1987),,Rhynchospora,aripoensis,,
Rhynchospora aristata,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,aristata,,
Rhynchospora armerioides,J. Presl and C. Presl,C4+,Ueno and Koyama (1987) Bruhl and Wilson (2007),-10.0,Rhynchospora,armerioides,,
Rhynchospora armerioides,J. Presl and C. Presl,C3,Ueno and Koyama (1987),,Rhynchospora,armerioides,,
Rhynchospora baldwinii,A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,baldwinii,,
Rhynchospora barbata,(Vahl) Kunth,C4+,Ueno and Koyama (1987) Bruhl and Wilson (2007),-10.4,Rhynchospora,barbata,,
Rhynchospora berteroi,(Spreng.) C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,berteroi,,
Rhynchospora biflora,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,biflora,,
Rhynchospora brachychaeta,C. Wright,C3,Ueno and Koyama (1987),,Rhynchospora,brachychaeta,,
Rhynchospora brevirostris,Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,brevirostris,,
Rhynchospora brownii,Roem and Schult.,C3+,Govindarajalu (1975a) Gilliland and Gordon-Gray (1978) Takeda et al. (1980) Ueno and Koyama (1987),,Rhynchospora,brownii,,
Rhynchospora cacuminicola,Gale,C3,Ueno and Koyama (1987),,Rhynchospora,cacuminicola,,
Rhynchospora caduca,Elliott,C3,Ueno and Koyama (1987),,Rhynchospora,caduca,,
Rhynchospora californica,Gale,C3,Ueno and Koyama (1987),,Rhynchospora,californica,,
Rhynchospora candida,(Nees) Boeck.,C3,Ueno and Koyama (1987) Bruhl and Wilson (2007),-27.0,Rhynchospora,candida,,
Rhynchospora capillacea,Torr.,C3,Ueno and Koyama (1987),,Rhynchospora,capillacea,,
Rhynchospora capitata,(Kunth) Roem. and Schult.,C4,Ueno and Koyama (1987),,Rhynchospora,capitata,,
Rhynchospora caracasana,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,caracasana,,
Rhynchospora cariciformis,Nees,C3,Ueno and Koyama (1987),,Rhynchospora,cariciformis,,
Rhynchospora cephalantha,A. Gray,C3,Ueno and Koyama (1987) Bruhl and Wilson (2007),-26.5,Rhynchospora,cephalantha,,
Rhynchospora cephalotes,(L.) Vahl,C3,Ueno and Koyama (1987) Bruhl and Wilson (2007),-26.9 -27.5,Rhynchospora,cephalotes,,
Rhynchospora cernua,Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,cernua,,
Rhynchospora chalarocephala,Fernald and Gale,C3,Ueno and Koyama (1987),,Rhynchospora,chalarocephala,,
Rhynchospora chapmanii,M. A. Curtis,C3,Ueno and Koyama (1987),,Rhynchospora,chapmanii,,
Rhynchospora chinensis,Nees and Meyen ex Wight,C3,Takeda et al. (1980),,Rhynchospora,chinensis,,
Rhynchospora fauriei,Franch.,C3,Takeda et al. (1980),,Rhynchospora,fauriei,,
Rhynchospora ciliaris,(Michx.) Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,ciliaris,,
Rhynchospora ciliata,Vahl,C3,Thomas (1984) Bruhl and Wilson (2007),-30.4,Rhynchospora,ciliata,,
Rhynchospora ciliolata,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,ciliolata,,
Rhynchospora colorata,(L.) H. Pfeiff.,C3,Thomas (1984) Ueno and Koyama (1987) Bruhl and Wilson (2007),,Rhynchospora,colorata,,
Rhynchospora comata,(Link) Roem. and Schult.,C3,Ueno and Koyama (1987),,Rhynchospora,comata,,
Rhynchospora compressa,J. Carey ex Chapm.,C3,Ueno and Koyama (1987),,Rhynchospora,compressa,,
Rhynchospora confinis,(Nees) C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,confinis,,
Rhynchospora confusa,F. Ballard,C4,Ueno and Koyama (1987) Bruhl and Wilson (2007),-10.0,Rhynchospora,confusa,,
Rhynchospora consanguinea,(Kunth) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,consanguinea,,
Rhynchospora coriifolia,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,coriifolia,,
Rhynchospora corniculata,(Lam.) A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,corniculata,,
Rhynchospora corymbosa,(L.) Britton,C3,Hofstra et al. (1972) Govindarajalu (1978) Gilliland and Gordon-Gray (1978) Prakesh et al. (1976) Takeda et al. (1980) Bruhl et al. (1987) Ueno and Koyama (1987) Bruhl and Wilson (2007),,Rhynchospora,corymbosa,,
Rhynchospora cubensis,Griseb.,C3,Ueno and Koyama (1987),,Rhynchospora,cubensis,,
Rhynchospora curtissii,Britton,C3,Ueno and Koyama (1987),,Rhynchospora,curtissii,,
Rhynchospora curvula,Griseb.,C4,Ueno and Koyama (1987),,Rhynchospora,curvula,,
Rhynchospora cyperoides,(Sw.) Mart.,C3,Ueno and Koyama (1987) Bruhl and Wilson (2007),-25.5,Rhynchospora,cyperoides,,
Rhynchospora decurrens,Chapm.,C3,Ueno and Koyama (1987),,Rhynchospora,decurrens,,
Rhynchospora dentinux,C. B. Clarke,C4,Ueno and Koyama (1987),,Rhynchospora,dentinux,,
Rhynchospora diamantina,C. B. Clarke ex Kük.,C4,Ueno and Koyama (1987),,Rhynchospora,diamantina,,
Rhynchospora dissitiflora,Steud.,C3,Ueno and Koyama (1987),,Rhynchospora,dissitiflora,,
Rhynchospora divergens,Chapm. ex M. A. Curtis,C3,Ueno and Koyama (1987),,Rhynchospora,divergens,,
Rhynchospora dives,Standley,C3,Ueno and Koyama (1987),,Rhynchospora,dives,,
Rhynchospora duckei,R. Gross,C3,Ueno and Koyama (1987),,Rhynchospora,duckei,,
Rhynchospora ebracteata,(Standley) H. Pfeiff.,C3,Ueno and Koyama (1987),,Rhynchospora,ebracteata,,
Rhynchospora elatior,Kunth,C4,Ueno and Koyama (1987),,Rhynchospora,elatior,,
Rhynchospora elliottii,A. Dietrich,C3,Ueno and Koyama (1987),,Rhynchospora,elliottii,,
Rhynchospora elongata,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,elongata,,
Rhynchospora emaciata,(Nees) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,emaciata,,
Rhynchospora exaltata,Kunth,C3,Ueno and Koyama (1987),,Rhynchospora,exaltata,,
Rhynchospora eximia,(Nees) Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,eximia,,
Rhynchospora faberi,C. B. Clarke,C3,Akita et al. (1969) Takeda et al. (1980) Ueno and Koyama (1987),,Rhynchospora,faberi,,
Rhynchospora fascicularis,(Michx.) Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,fascicularis,,
Rhynchospora filifolia,A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,filifolia,,
Rhynchospora filiformis,Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,filiformis,,
Rhynchospora flexuosa,C. B. Clarke,C3,Ueno and Koyama (1987),,Rhynchospora,flexuosa,,
Rhynchospora fusca,(L.) Aiton f.,C3,Ueno and Koyama (1987),,Rhynchospora,fusca,,
Rhynchospora gigantea,Link,C3,Ueno and Koyama (1987),,Rhynchospora,gigantea,,
Rhynchospora glaziovii,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,glaziovii,,
Rhynchospora globosa,(Kunth) Roem. and Schult.,C4,Ueno and Koyama (1987),,Rhynchospora,globosa,,
Rhynchospora globularis,(Chapm.) Small,C3,Ueno and Koyama (1987),,Rhynchospora,globularis,,
Rhynchospora glomerata,(L.) Vahl,C3,Ueno and Koyama (1987),,Rhynchospora,glomerata,,
Rhynchospora gollmeri,Boeck.,C3,Ueno and Koyama (1987),,Rhynchospora,gollmeri,,
Rhynchospora gracilenta,A. Gray,C3,Ueno and Koyama (1987),,Rhynchospora,gracilenta,,
Rhynchospora gracillima,Thwaites,C3,Govindarajalu (1975a) Ueno and Koyama (1987),,Rhynchospora,gracillima,,
Rhynchospora graminea,Uittien,C3,Ueno and Koyama (1987),,Rhynchospora,graminea,,
